UID,주거 형태,연간 소득,현재 직장 근속 연수,체납 세금 압류 횟수,개설된 신용계좌 수,신용 거래 연수,최대 신용한도,신용 문제 발생 횟수,마지막 연체 이후 경과 개월 수,개인 파산 횟수,대출 목적,대출 상환 기간,현재 대출 잔액,현재 미상환 신용액,월 상환 부채액,신용 점수,채무 불이행 여부
TRAIN_00000,자가,1941337.5,10년 이상,0,9,13.4,400597.5,0,24,1,부채 통합,단기 상환,390903,225457.5,8806.5,767,0
TRAIN_00001,월세,1979505,10년 이상,0,5,15.1,360679.5,0,11,0,부채 통합,단기 상환,1002184.5,64749,24961.5,767,0
TRAIN_00002,월세,1356381,4년,0,12,18.8,491770.5,1,74,3,부채 통합,단기 상환,227775,487644,12069,800,1
TRAIN_00003,월세,1049017.5,6년,0,15,14.8,411546,1,22,1,부채 통합,단기 상환,251383.5,413211,31749,796,1
TRAIN_00004,월세,4320217.5,2년,0,11,26.1,895288.5,0,32,0,부채 통합,장기 상환,1163176.5,78991.5,5862,751,0
TRAIN_00005,주택 담보 대출 (거주 중),5395734,10년 이상,1,12,35.6,1297161,2,33,0,부채 통합,단기 상환,562845,545880,23272.5,691,1
TRAIN_00006,자가,1601410.5,8년,0,17,32.6,1174611,1,74,3,부채 통합,단기 상환,252634.5,235188,3751.5,795,1
TRAIN_00007,주택 담보 대출 (거주 중),1410700.5,2년,0,8,24.4,692352,0,19,0,자동차 구매,장기 상환,479349,154974,16842,807,0
TRAIN_00008,주택 담보 대출 (거주 중),1636863,3년,0,9,9.8,154429.5,0,11,0,기타,단기 상환,370210.5,11943,28818,713,1
TRAIN_00009,자가,1644226.5,2년,0,6,12.7,511518,0,29,0,부채 통합,단기 상환,187140,122344.5,5214,793,0
TRAIN_00010,자가,2993922,5년,0,5,19.5,0,0,70,0,기타,단기 상환,230776.5,47728.5,11479.5,756,0
TRAIN_00011,월세,922128,10년 이상,0,10,12,501057,0,35,0,부채 통합,단기 상환,437772,224521.5,9145.5,787,0
